Subject Type	Source	Mean	Median	5% percentile	95% percentile	p-value 	Mean AF (%)	Median AF (%)	5% quantile	95% quantile
Control	WBC-matched	6	5	0	13	NA	0.6	0.16	0.06	2.29
Breast	WBC-matched	6	5	0	14	0.889	0.62	0.19	0.05	1.96
Lung	WBC-matched	8	6	2	17	0.039	0.69	0.2	0.06	3.09
Prostate	WBC-matched	7	5	1	16	0.213	0.64	0.18	0.06	2.22
Control	VUSo	1	1	0	4	NA	0.58	0.14	0.07	0.36
Breast	VUSo	3	2	0	10	0.003	1.89	0.37	0.09	8.48
Lung	VUSo	4	3	0	11	0.001	0.9	0.29	0.08	1.65
Prostate	VUSo	4	2	0	15	0.002	1.84	0.28	0.08	10.79
Breast	Biopsy-matched	4	3	1	8	NA	11.19	3.98	0.3	42.78
Lung	Biopsy-matched	5	3	0	14	NA	6.65	3.37	0.15	22.05
Prostate	Biopsy-matched	3	2	0	5	NA	16.2	13.37	0.15	42.04
  Mann-Whitney U test										
